,currency,impact,name,date,time
606,USD,High Impact Expected,Existing Home Sales,2007-02-27,16:00:00
624,USD,High Impact Expected,Prelim GDP q/q,2007-02-28,14:30:00
627,EUR,High Impact Expected,ECB President Trichet Speaks,2007-02-28,15:00:00
629,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2007-02-28,16:00:00
630,USD,High Impact Expected,New Home Sales,2007-02-28,16:00:00
634,AUD,High Impact Expected,Private Capital Expenditure q/q,2007-03-01,01:30:00
652,USD,High Impact Expected,Core PCE Price Index m/m,2007-03-01,14:30:00
657,USD,High Impact Expected,ISM Manufacturing PMI,2007-03-01,16:00:00
667,AUD,High Impact Expected,Retail Sales m/m,2007-03-02,01:30:00
669,CNY,High Impact Expected,Manufacturing PMI,2007-03-02,02:00:00
675,CAD,High Impact Expected,GDP m/m,2007-03-02,14:30:00
690,CAD,High Impact Expected,Ivey PMI,2007-03-05,16:00:00
691,USD,High Impact Expected,ISM Services PMI,2007-03-05,16:00:00
693,AUD,High Impact Expected,Building Approvals m/m,2007-03-06,01:30:00
703,CAD,High Impact Expected,BOC Rate Statement,2007-03-06,15:00:00
704,CAD,High Impact Expected,Overnight Rate,2007-03-06,15:00:00
705,USD,High Impact Expected,Pending Home Sales m/m,2007-03-06,16:00:00
707,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2007-03-06,20:00:00
708,AUD,High Impact Expected,Cash Rate,2007-03-06,23:30:00
712,AUD,High Impact Expected,GDP q/q,2007-03-07,01:30:00
721,NZD,High Impact Expected,Official Cash Rate,2007-03-07,21:00:00
722,NZD,High Impact Expected,RBNZ Press Conference,2007-03-07,21:00:00
723,NZD,High Impact Expected,RBNZ Rate Statement,2007-03-07,21:00:00
730,CHF,High Impact Expected,CPI m/m,2007-03-08,07:45:00
733,GBP,High Impact Expected,Halifax HPI m/m,2007-03-08,09:00:00
735,GBP,High Impact Expected,Official Bank Rate,2007-03-08,13:00:00
736,EUR,High Impact Expected,Main Refinancing Rate,2007-03-08,13:45:00
737,CAD,High Impact Expected,Housing Starts,2007-03-08,14:15:00
739,EUR,High Impact Expected,ECB Press Conference,2007-03-08,14:30:00
747,GBP,High Impact Expected,Manufacturing Production m/m,2007-03-09,10:30:00
749,CAD,High Impact Expected,Employment Change,2007-03-09,13:00:00
750,CAD,High Impact Expected,Unemployment Rate,2007-03-09,13:00:00
751,CAD,High Impact Expected,Trade Balance,2007-03-09,14:30:00
752,USD,High Impact Expected,Non-Farm Employment Change,2007-03-09,14:30:00
753,USD,High Impact Expected,Trade Balance,2007-03-09,14:30:00
754,USD,High Impact Expected,Unemployment Rate,2007-03-09,14:30:00
772,CNY,High Impact Expected,USD-Denominated Trade Balance,2007-03-12,07:50:00
774,GBP,High Impact Expected,PPI Input m/m,2007-03-12,10:30:00
780,NZD,High Impact Expected,Core Retail Sales m/m,2007-03-12,22:45:00
781,NZD,High Impact Expected,Retail Sales m/m,2007-03-12,22:45:00
787,GBP,High Impact Expected,Goods Trade Balance,2007-03-13,10:30:00
790,USD,High Impact Expected,Core Retail Sales m/m,2007-03-13,13:30:00
791,USD,High Impact Expected,Retail Sales m/m,2007-03-13,13:30:00
804,GBP,High Impact Expected,Claimant Count Change,2007-03-14,10:30:00
818,AUD,High Impact Expected,Employment Change,2007-03-15,01:30:00
832,USD,High Impact Expected,PPI m/m,2007-03-15,13:30:00
836,CHF,High Impact Expected,Libor Rate,2007-03-15,14:00:00
837,CHF,High Impact Expected,SNB Monetary Policy Assessment,2007-03-15,14:00:00
838,USD,High Impact Expected,TIC Long-Term Purchases,2007-03-15,14:00:00
847,USD,High Impact Expected,CPI y/y,2007-03-16,13:30:00
848,USD,High Impact Expected,Core CPI m/m,2007-03-16,13:30:00
852,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2007-03-16,15:00:00
866,JPY,High Impact Expected,BOJ Press Conference,2007-03-20,07:27:00
869,GBP,High Impact Expected,CPI y/y,2007-03-20,10:30:00
874,CAD,High Impact Expected,Core CPI m/m,2007-03-20,12:00:00
880,JPY,Non-Economic,Bank Holiday,2007-03-21,23:59:59
884,EUR,High Impact Expected,ECB President Trichet Speaks,2007-03-21,09:00:00
